source_id,title,publisher,publication_date,source_kind,source_independence,access_level,peer_reviewed,url,archived_url,last_verified,status,notes
SRC-OAI-001,GPT-5.6 System Card,OpenAI,2026-07-09,system_card,developer,public_report_only,no,https://deploymentsafety.openai.com/gpt-5-6,,2026-08-04,active,Primary provider disclosure.
SRC-ANT-001,Claude Opus 4.8 System Card,Anthropic,2026-05-28,system_card,developer,public_report_only,no,https://www-cdn.anthropic.com/0b4915911bb0d19eca5b5ee635c80fef830a37ea/Claude%20Opus%204.8%20System%20Card.pdf,,2026-08-04,active,Primary provider disclosure; large PDF.
SRC-GDM-001,Gemini 3.1 Pro Model Card,Google DeepMind,2026-02-19,model_card,developer,public_report_only,no,https://deepmind.google/models/model-cards/gemini-3-1-pro/,,2026-08-04,active,Includes Frontier Safety summary and explicit comparability caveats.
SRC-XAI-001,Grok 4.20 System Card,xAI,2026-04-07,system_card,developer,public_report_only,no,https://data.x.ai/2026-04-07-grok-4-20-model-card.pdf,,2026-08-04,active,Primary provider disclosure.
SRC-METR-001,Frontier Risk Report (February to March 2026),METR,2026-05-19,independent_evaluation,independent_nonprofit,controlled_black_box,no,https://metr.org/blog/2026-05-19-frontier-risk-report/,,2026-08-04,active,Independent frontier-risk evaluation report.
SRC-METR-002,Task-Completion Time Horizons of Frontier AI Models,METR,,living_dataset,independent_nonprofit,public_product_black_box,no,https://metr.org/time-horizons/,,2026-08-04,active,Living source; values must be date-stamped when extracted.
SRC-AISI-001,Frontier AI Trends Report,UK AI Security Institute,,government_report,government,controlled_black_box,no,https://www.aisi.gov.uk/frontier-ai-trends-report,,2026-08-04,active,"Aggregated trends across biology, chemistry, cyber, autonomy and societal impacts."
SRC-APOLLO-001,"The Need for Deeper, White-Box Access to Maintain State-of-the-Art Evaluations for Loss-of-Control Threats",Apollo Research,2026-05-20,governance_analysis,independent_nonprofit,public_report_only,no,https://www.apolloresearch.ai/governance/the-need-for-deeper-white-box-access-to-maintain-state-of-the-art-evaluations-for-loss-of-control-threats/,,2026-08-04,active,Supports evaluator-access taxonomy and uncertainty analysis.
SRC-EU-001,The General-Purpose AI Code of Practice,European Commission,2025-07-10,regulatory_guidance,regulator,public_report_only,no,https://digital-strategy.ec.europa.eu/en/policies/contents-code-gpai,,2026-08-04,active,"Official page for Transparency, Copyright, and Safety and Security chapters."
SRC-EU-002,Guidelines for providers of general-purpose AI models,European Commission,2026-04-28,regulatory_guidance,regulator,public_report_only,no,https://digital-strategy.ec.europa.eu/en/policies/guidelines-gpai-providers,,2026-08-04,active,"Official scope, notification, submission and enforcement guidance."
SRC-EU-003,AI Act regulatory framework overview,European Commission,,regulatory_guidance,regulator,public_report_only,no,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,,2026-08-04,active,Official implementation and enforcement overview.
SRC-XAI-002,Grok 4.5 Model Card,xAI,2026-07-14,model_card,developer,public_report_only,no,https://media.x.ai/v1/website/4p5-5184fdf9.pdf,,2026-08-04,active,Primary provider disclosure; 29-page PDF.
SRC-ANT-002,Claude Opus 5 System Card,Anthropic,2026-07-24,system_card,developer,public_report_only,no,https://www-cdn.anthropic.com/b514064af1408018e64b1ad24e7d5e75850b4ffd/Claude%20Opus%205%20System%20Card.pdf,,2026-08-05,active,Primary provider disclosure; evidence extraction pending.
