model_id,provider,model_name,domain,action,action_label,trigger_strength,confidence,evidence_ids,rationale,limitations
google-gemini-3.1-pro,Google DeepMind,Gemini 3.1 Pro,agentic_behavior,additional_testing,Additional targeted testing,moderate,low,E-GDM-MISALIGN-001,"The evidence is concerning, mixed, near/at an alert point, or insufficiently resolved for the covered deployment configuration.",Selected-task result; exploratory framework; situational awareness is a precursor rather than proof of harmful intent.
google-gemini-3.1-pro,Google DeepMind,Gemini 3.1 Pro,autonomy,additional_testing,Additional targeted testing,moderate,low,E-GDM-MLRD-001,"The evidence is concerning, mixed, near/at an alert point, or insufficiently resolved for the covered deployment configuration.",Average obscures task-level variance; benchmark performance is not a direct measure of real-world recursive improvement.
google-gemini-3.1-pro,Google DeepMind,Gemini 3.1 Pro,cyber,additional_testing,Additional targeted testing,moderate,low,E-GDM-CYBER-001,"The evidence is concerning, mixed, near/at an alert point, or insufficiently resolved for the covered deployment configuration.",Provider-run testing; CCL and alert threshold are framework-specific; inference cost affected Deep Think performance.
google-gemini-3.1-pro,Google DeepMind,Gemini 3.1 Pro,cyber,independent_evaluation,Qualified independent evaluation,moderate,low,E-GDM-CYBER-001,High-concern or alert-threshold evidence is not independently corroborated in the current dataset.,Provider-run testing; CCL and alert threshold are framework-specific; inference cost affected Deep Think performance.
google-gemini-3.1-pro,Google DeepMind,Gemini 3.1 Pro,cyber,restricted_access,Restricted or identity-gated access,moderate,low,E-GDM-CYBER-001,Broad deployment is combined with high-concern capability or safeguard evidence; capability-specific access controls should be assessed.,Provider-run testing; CCL and alert threshold are framework-specific; inference cost affected Deep Think performance.
google-gemini-3.1-pro,Google DeepMind,Gemini 3.1 Pro,persuasion,additional_testing,Additional targeted testing,moderate,low,E-GDM-PERS-001,"The evidence is concerning, mixed, near/at an alert point, or insufficiently resolved for the covered deployment configuration.","Exploratory level; benchmark validity, population generalisation and deployment context remain uncertain."
openai-gpt-5.6-sol,OpenAI,GPT-5.6 Sol,agentic_behavior,additional_testing,Additional targeted testing,moderate,low,E-OAI-AGENT-001,"The evidence is concerning, mixed, near/at an alert point, or insufficiently resolved for the covered deployment configuration.",Baseline comparisons are constrained by unequal access to reasoning traces; tested settings are narrow.
openai-gpt-5.6-sol,OpenAI,GPT-5.6 Sol,bio_chem,additional_testing,Additional targeted testing,moderate,low,E-OAI-BIO-001,"The evidence is concerning, mixed, near/at an alert point, or insufficiently resolved for the covered deployment configuration.",Family-level classification; public report omits some sensitive evaluation details.
openai-gpt-5.6-sol,OpenAI,GPT-5.6 Sol,bio_chem,independent_evaluation,Qualified independent evaluation,moderate,low,E-OAI-BIO-001,High-concern or alert-threshold evidence is not independently corroborated in the current dataset.,Family-level classification; public report omits some sensitive evaluation details.
openai-gpt-5.6-sol,OpenAI,GPT-5.6 Sol,bio_chem,restricted_access,Restricted or identity-gated access,moderate,low,E-OAI-BIO-001,Broad deployment is combined with high-concern capability or safeguard evidence; capability-specific access controls should be assessed.,Family-level classification; public report omits some sensitive evaluation details.
openai-gpt-5.6-sol,OpenAI,GPT-5.6 Sol,cyber,additional_testing,Additional targeted testing,moderate,low,E-OAI-CYBER-001,"The evidence is concerning, mixed, near/at an alert point, or insufficiently resolved for the covered deployment configuration.",Provider-defined threshold; selected details of internal safeguards report are non-public; cross-provider thresholds are not equivalent.
